position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
83,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",oH6Q_dsWojk,2024-09-05T18:13:36Z,"2024-09-05 18:13:36","APROVADA PROPOSTA QUE FORTALECE O ENFRENTAMENTO A EMERGÊNCIAS SANITÁRIAS NO BRASIL","Senado aprova projeto que fortalece a resposta a emergências fitossanitárias e zoossanitárias no Brasil! Com a proposta, autoridades terão mais recursos e flexibilidade para proteger a saúde das plantas e dos animais. Um passo importante para garantir a segurança do nosso setor agropecuário. 🌱🐄","agro,agronegocio,agricultura,fpa,frente parlamentar da agropecuaria,sanitaria,zoossanitaria,fitossanitaria",25,"News & Politics",Society,PT1M37S,97,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/oH6Q_dsWojk/maxresdefault.jpg,,,,,38,2,,0,0
84,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",5jZvipWEykI,2024-09-05T13:14:15Z,"2024-09-05 13:14:15","GARANTIDOS DIREITOS TRABALHISTAS DE COOPERATIVAS NO SENADO FEDERAL","🫱🏻‍🫲🏼 Aprovado na CAE do Senado o projeto que regulamenta os direitos trabalhistas dos empregados de cooperativas, garantindo justiça e proteção legal. Com urgência aprovada, a proposta avança para votação em Plenário, fortalecendo o reconhecimento e os direitos desses trabalhadores em todo o país.","agro,agropecuaria,direitos trabalhistas,cooperativas,agronegocio,agricultura familiar",25,"News & Politics","Politics,Society",PT1M40S,100,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/5jZvipWEykI/maxresdefault.jpg,,,,,66,2,,0,0
85,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",1g-A1u_m0jU,2024-09-02T14:32:35Z,"2024-09-02 14:32:35","APROVADO PROJETO QUE FAVORECE PRODUÇÃO DE COMBUSTÍVEIS RENOVÁVEIS DE AVIAÇÃO NO PAÍS","Grande passo para o fortalecimento do turismo e da aviação no Brasil! ✈️ Com novas condições para empréstimos às companhias aéreas e incentivos à produção de combustíveis renováveis, o país se prepara para um futuro mais sustentável. 🌍","agro,agronegocio,agricultura,aviação,combustivel,combustivel renovavel,biodiesel,bioenergia",25,"News & Politics","Politics,Society",PT1M21S,81,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/1g-A1u_m0jU/maxresdefault.jpg,,,,,119,1,,0,0
86,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",-3pM-cmJ26g,2024-08-30T17:00:42Z,"2024-08-30 17:00:42","APROVADO PROJETO QUE INCENTIVA TECNOLOGIAS PARA REDUZIR RISCOS AGROCLIMÁTICOS","Melhorias na prevenção de riscos agroclimáticos 🌩️☔ A Comissão de Agricultura da Câmara aprovou o PL 968/2024, que cria um programa para incentivar tecnologias que ajudam a agricultura a enfrentar os desafios das mudanças climáticas. Proposta do deputado Pezenti (MDB-SC), relatada por Tião Medeiros (PP-PR), busca tornar a produção rural mais resiliente a secas, enchentes e outros eventos extremos, garantindo mais segurança alimentar para o país. 🌱","agro,agronegocio,meio ambiente,clima,preservação,agricultura",25,"News & Politics","Politics,Society",PT1M32S,92,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/-3pM-cmJ26g/maxresdefault.jpg,,,,,227,1,,0,0
87,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",DCgu9ju_a00,2024-08-28T20:08:32Z,"2024-08-28 20:08:32","FPA PRIORIZA ENDURECIMENTO DAS PUNIÇÕES PARA CRIMES DE INCÊNDIO NO BRASIL","Bioinsumos e combate aos incêndios | Na reunião-almoço da FPA, o debate sobre bioinsumos avançou, destacando a importância do tema para a cadeia de orgânicos no Brasil. Além disso, a bancada reforçou seu apoio a projetos de lei para combater os crimes de incêndio, essenciais para proteger o setor agropecuário dos graves prejuízos. 🌱🔥","brasil,queimadas,crimes,fpa,agro,agronegocio,agricultura",25,"News & Politics",Society,PT2M14S,134,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/DCgu9ju_a00/maxresdefault.jpg,,,,,192,4,,0,1
88,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",AdaFmP8Xx38,2024-08-27T18:39:18Z,"2024-08-27 18:39:18","PRESIDENTE DA FPA FALA SOBRE MEDIDAS PARA PREVENÇÃO E COMBATE A INCÊNDIOS","O deputado Pedro Lupion, presidente da Frente Parlamentar da Agropecuária (FPA), destacou em coletiva de imprensa os avanços significativos no setor de bioinsumos no Brasil, um tema crucial para o desenvolvimento sustentável da agricultura nacional. Além disso, o deputado expressou preocupação com os recentes incêndios que têm ocorrido em várias regiões do país, alertando para os impactos ambientais e na produção agropecuária.","frente parlamentar da agropecuaria,fpa,agropecuaria,agro,agronegocio,incendios,bioinsumos",25,"News & Politics","Politics,Society",PT6M14S,374,2d,hd,false,,en-US,https://i.ytimg.com/vi/AdaFmP8Xx38/maxresdefault.jpg,,,,,56,2,,0,0
89,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",1zQYNsmL0ns,2024-08-21T13:16:00Z,"2024-08-21 13:16:00","Senado aprova projeto que amplia ""Selo Arte"" para produtos alimentícios artesanais de origem vegetal","Senado aprova ampliação do Selo Arte para produtos artesanais de origem vegetal! Agora, geleias, doces e outros alimentos feitos com matérias-primas vegetais poderão ser reconhecidos e valorizados, promovendo a cultura e a tradição das regiões do Brasil. 🌱🍯 Confira também a matéria completa na Agência FPA: https://agencia.fpagropecuaria.org.br/2024/08/15/senado-aprova-projeto-que-amplia-selo-arte-para-produtos-alimenticios-artesanais-de-origem-vegetal/","agro,senado,artesanal,produção artesanal,fpa,frente parlamentar da agropecuária,agropecuária,selo arte,agricultura familiar",25,"News & Politics","Food,Society",PT1M52S,112,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/1zQYNsmL0ns/maxresdefault.jpg,,,,,882,25,,0,0
90,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",kfVi-8C93sM,2024-08-20T17:30:33Z,"2024-08-20 17:30:33","APROVADA PRORROGAÇÃO DE DÍVIDAS RURAIS PARA PRODUTORES ATINGIDOS POR DESASTRER NATURAIS","🌳 O PL 397/2024, relatado pela deputada Marussa Boldrin, garante a prorrogação do pagamento de crédito rural para produtores afetados por secas e enchentes. Um alívio necessário para o agro em tempos difíceis. 🌾 LEIA A MATÉRIA COMPLETA NO LINK: https://agencia.fpagropecuaria.org.br/2024/08/15/alivio-financeiro-no-campo-deputados-aprovam-prorrogacao-de-dividas-rurais-para-produtores-atingidos-por-desastres-climaticos/","AGRO,AGRONEGOCIO,AGRICULTURA,FPA,FRENTE PARLAMENTAR DA AGROPECUÁRIA,DESASTRES,RIO GRANDE DO SUL,ENCHENTES",25,"News & Politics","Politics,Society",PT4M24S,264,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/kfVi-8C93sM/maxresdefault.jpg,,,,,1060,9,,0,0
91,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",bGbsDEtqjGc,2024-08-19T23:00:15Z,"2024-08-19 23:00:15","COMISSÃO APROVA PROJETO QUE DIMINUI IMPOSTOS PARA AS CADEIAS DE CARNES SUÍNAS E DE AVES","O PL 1947/2023 amplia a desoneração tributária para produtores de suínos e aves, reduzindo custos e fortalecendo o setor agropecuário. Mais um passo para o crescimento do agro no Brasil! 🐔🐖","agro,agropecuaria,fpa,frente parlamentar da agropecuaria,suinos,bovinos",25,"News & Politics",Society,PT1M39S,99,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/bGbsDEtqjGc/maxresdefault.jpg,,,,,343,4,,0,1
92,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",uCUdieEp4VM,2024-08-19T17:18:00Z,"2024-08-19 17:18:00","COMISSÃO BARRA DECRETO QUE FAVORECE MOVIMENTOS SOCIAIS","🌱 Aprovado na Comissão de Agricultura o parecer do relator, deputado Pedro Lupion, presidente da FPA, ao PDL 313/2023, que reverte as mudanças no Programa Nacional de Reforma Agrária. A medida garante a segurança jurídica e preserva os direitos dos produtores rurais. LEIA A MATÉRIA COMPLETA: https://agencia.fpagropecuaria.org.br/2024/08/14/reforma-agraria-com-apoio-da-fpa-camara-barra-decreto-que-favorece-movimentos-sociais/","agro,agronegocio,agricultura,invasão,mst,camara dos deputados,congresso nacional,CCJ",25,"News & Politics","Politics,Society",PT1M54S,114,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/uCUdieEp4VM/maxresdefault.jpg,,,,,1265,7,,0,2
93,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",hQizXnGUQr4,2024-08-16T14:26:23Z,"2024-08-16 14:26:23","APROVADO PROJETO QUE PROPÕE RESTRIÇÕES A BENEFÍCIOS PARA INVASORES DE TERRA","📋 Aprovado projeto de lei (PL 1373/2023) que impede invasores de terras de acessarem benefícios do Programa de Reforma Agrária e créditos subsidiados! Um passo firme em defesa da propriedade rural e da justiça no campo! 🌾🚜 LEIA A MATÉRIA COMPLETA NO LINK: https://agencia.fpagropecuaria.org.br/2024/08/14/comissao-de-agricultura-aprova-projeto-que-propoe-restricoes-a-beneficios-para-invasores-de-propriedades-rurais/","agro,agronegocio,invasão,mst,bolsa familia,beneficios sociais,fpa,frente parlamentar da agropecuaria,agropecuaria",25,"News & Politics",Society,PT1M51S,111,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/hQizXnGUQr4/maxresdefault.jpg,,,,,208,4,,0,1
94,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",c3KC_KDuOio,2024-08-15T20:48:46Z,"2024-08-15 20:48:46","CÂMARA APROVA PROGRAMA DE DESENVOLVIMENTO DO HIDROGÊNIO DE BAIXA EMISSÃO DE CARBONO","🍃 Hidrogênio de Baixa Emissão de Carbono | O Plenário da Câmara dos Deputados aprovou as regras do Programa de Desenvolvimento do Hidrogênio de Baixa Emissão de Carbono (PHBC). Com o apoio da Frente Parlamentar da Agropecuária (FPA), o projeto, relatado por Arnaldo Jardim, garante incentivos para descarbonizar indústrias essenciais e fortalecer o transporte pesado com hidrogênio. Um total de R$ 18,3 bilhões em créditos fiscais será distribuído entre 2028 e 2032, promovendo competitividade e sustentabilidade no setor. Empresas que não utilizarem os créditos podem enfrentar multas e sanções. LEIA A MATÉRIA COMPLETA NO LINK: https://agencia.fpagropecuaria.org.br/2024/08/13/camara-aprova-programa-de-desenvolvimento-do-hidrogenio-de-baixa-emissao-de-carbono/","agro,agronegocio,fpa,frente parlamentar da agropecuaria,arnaldo jardim,sustentabilidade,hidrogenio verde,carbono",25,"News & Politics","Politics,Society",PT1M46S,106,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/c3KC_KDuOio/maxresdefault.jpg,,,,,428,3,,0,0
95,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",9NjmttGOPlU,2024-08-13T19:01:24Z,"2024-08-13 19:01:24","APOIO AOS PRODUTORES DO RIO GRANDE DO SUL E COMBATE A INVASÕES DE TERRAS","Durante coletiva de imprensa, o presidente da Frente Parlamentar da Agropecuária, deputado Pedro Lupion, abordou temas críticos para o setor agropecuário. Ele expressou insatisfação com a Medida Provisória 1247/24, que, segundo ele, não atende adequadamente às necessidades dos agricultores afetados pelas enchentes no Rio Grande do Sul. Lupion também demonstrou preocupação com as recentes invasões de terras em estados como Paraná, Mato Grosso e Bahia, enfatizando a urgência de medidas eficazes para conter essa situação. Por fim, destacou as pautas prioritárias para o setor no segundo semestre de 2024, incluindo a regulamentação da Reforma Tributária em tramitação no Senado Federal.","RIO GRANDE DO SUL,POLITICA,FPA,FRENTE PARLAMENTAR DA AGROPECUARIA,AGRO,AGRONEGOCIO,AGROPECUARIA,REFORMA TRIBUTARIA,ECONOMIA,ECOLOGIA,MEIO AMBIENTE,INVASÃO DE TERRA",25,"News & Politics","Politics,Society",PT12M50S,770,2d,hd,false,,en-US,https://i.ytimg.com/vi/9NjmttGOPlU/maxresdefault.jpg,,,,,49,2,,0,0
96,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",iYF9kHXhvKY,2024-08-08T19:47:11Z,"2024-08-08 19:47:11","MEDIDA FALHA EM ATENDER PRODUTORES GAÚCHOS ATINGIDOS PELAS ENCHENTES",,"fpa,frente parlamentar da agropecuaria,gaúchos,produtores,agro,mp,governo federal,agropecuária,agronegocio,impostos",25,"News & Politics",Society,PT2M2S,122,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/iYF9kHXhvKY/maxresdefault.jpg,,,,,661,3,,0,0
97,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",WEIa1B8tCno,2024-08-07T13:29:03Z,"2024-08-07 13:29:03","ISENÇÃO DE PIS/COFINS PARA CADEIA PRODUTIVA DO MILHO PROMETE REDUZIR CUSTO DE ALIMENTOS","Zero Impostos para Farelo e Óleo de Milho 🌽 | O governo federal, enfim, sancionou a lei que estende ao farelo e ao óleo de milho a mesma regulação tributária aplicada à soja. A mudança, articulada pela FPA, suspende a incidência de PIS/Pasep e da Cofins para o milho. Publicada no Diário Oficial da União, essa alteração visa beneficiar produtores, fortalecer o setor agrícola e reduzir o preço de alimentos. CONFIRA A MATÉRIA COMPLETA NO LINK: https://agencia.fpagropecuaria.org.br/2024/08/01/equiparacao-tributaria-para-farelo-e-oleo-de-milho-e-sancionada-sem-vetos/","FPA,FRENTE PARLAMENTAR DA AGROPECUARIA,IMPOSTO,CUSTO DE PRODUÇÃO,AGRO,AGROPECUARIA,AGRONEGOCIO,FARELO DE MILHO,PIS,COFINS",25,"News & Politics",Society,PT1M53S,113,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/WEIa1B8tCno/maxresdefault.jpg,,,,,282,3,,0,0
98,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",3MqcJQKUzpg,2024-08-06T14:43:24Z,"2024-08-06 14:43:24","AUTOCONTROLE AGROPECUÁRIO É REGULAMENTADO","🍽️ Menos burocracia e mais qualidade dos alimentos que chegam até você! 🗓️ O Autocontrole Agropecuário moderniza as práticas de controle sanitário na cadeia produtiva agropecuária, e permite que produtores e empresas assumam maior responsabilidade pela qualidade e segurança dos alimentos. Aprovado em junho de 2022, com forte atuação da FPA, foi finalmente regulamentado pelo Governo. 🎥 Assista o vídeo completo! Confira pelo link:","AGRO,FPA,AGROPECUARIA,SENADO,TEREZA CRISTINA,FRENTE PARLAMENTAR DA AGROPECUARIA,ZEQUINHA MARINHO,AUTOCONTROLE",25,"News & Politics",Society,PT2M15S,135,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/3MqcJQKUzpg/maxresdefault.jpg,,,,,325,0,,0,0
99,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",3RfbHZCZaiM,2024-07-19T18:16:47Z,"2024-07-19 18:16:47","PRODUTOR, VEJA O QUE A FPA TRABALHOU PARA VOCÊ NA REFORMA TRIBUTÁRIA","⚖️🤝 A recente Reforma Tributária trouxe avanços significativos para o setor agropecuário, resultado de intensas negociações lideradas pela FPA. 👨🏻‍🌾👧🏻 Todo o nosso trabalho foi a favor de quem produz a comida e de quem come. Simples, mas nem tanto assim. 🎥 Confira o vídeo completo e fique por dentro do que a FPA conseguiu para você nesta Reforma Tributária!","reforma tributaria,fpa,frente parlamentar da agropecuaria,agricultura,agricultor",25,"News & Politics",Society,PT1M39S,99,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/3RfbHZCZaiM/maxresdefault.jpg,,,,,109,2,,0,0
100,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",AeuZRPWg8Jw,2024-07-19T13:20:09Z,"2024-07-19 13:20:09","""QUEM CUIDA DO CAMPO, CUIDA DA CIDADE TAMBÉM"" | PERSONAGENS DO AGRO #2","💬 “Pensem só: uma jovem, mulher e agrônoma, quebrando esses paradigmas de que a agricultura é um espaço masculino. Cada vez mais estamos entendendo que somos pertencentes deste espaço e fazemos parte disso.” ▶️👨🏻‍🌾 Em nosso segundo episódio do Personagens do Agro, conversamos com Marussa Boldrin, que compartilhou um pouco mais sobre seus gostos, sua vida e trajetória até se tornar a mulher que é hoje: uma grande defensora do agro brasileiro.","FPA,GOIAS,INTERIOR,MARUSSA,APOSENTADORIA,MARUSSA BOLDRIN",22,"People & Blogs",Society,PT7M58S,478,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/AeuZRPWg8Jw/maxresdefault.jpg,,,,,404,8,,0,0
101,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",l6CuJ4V45ks,2024-07-18T21:31:16Z,"2024-07-18 21:31:16","EXPLOSÕES DE CONFLITOS EXPÕEM A FRAGILIDADE DA SEGURANÇA JURÍDICA NO BRASIL","Invasão de Terras x Marco Temporal 📍⚠️ 👥 A Frente Parlamentar da Agropecuária (FPA) solicita o cumprimento da Lei do Marco Temporal após novas invasões em propriedades privadas por grupos indígenas em Guaíra (PR), Douradina e Caarapó (MS), e Pontão (RS). Os incidentes resultaram em conflitos e feridos, intensificando a tensão na região. A FPA já protocolou a convocação do Ministro da Justiça, Ricardo Lewandowski, para prestar esclarecimentos sobre as ocorrências e medidas adotadas. 🎥 Confira o vídeo completo! Assista através do link: Frente Parlamentar da Agropecuária","FPA,MARCO TEMPORAL,DIREITO DE PROPRIEDADE,CAMARA DOS DEPUTADOS,SENADO FEDERAL,AGRICULTURA,AGRONEGOCIO",25,"News & Politics","Politics,Society",PT4M1S,241,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/l6CuJ4V45ks/maxresdefault.jpg,,,,,335,7,,0,0
102,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",Vqiymsu-xAI,2024-07-11T20:49:35Z,"2024-07-11 20:49:35","Câmara regulamenta Reforma Tributária com isenção da cesta básicas e carnes","⚖️🤝 Pautas da FPA aprovadas na Reforma Tributária. 👨🏻‍🌾📖 Benefícios para o cooperativismo e correções na cesta básica são alguns dos pleitos emplacados pela FPA, garantindo melhorias para o setor agropecuário. O Plenário da Câmara dos Deputados aprovou, nesta quarta-feira (10), o Projeto de Lei Complementar 68/2024, regulamentando a Reforma Tributária. O texto estabelece as regras para o Imposto sobre Bens e Serviços (IBS), a Contribuição Social sobre Bens e Serviços (CBS), e o Imposto Seletivo (IS). CONFIRA A MATÉRIA COMPLETA NO LINK: https://agencia.fpagropecuaria.org.br/2024/07/10/com-pleitos-da-fpa-atendidos-como-melhorias-na-cesta-basica-e-beneficios-ao-cooperativismo-camara-regulamenta-reforma-tributaria/","camara dos deputados,fpa,frente parlamentar da agropecuaria,economia,reforma tributaria,carne,cesta basica,isenção",25,"News & Politics","Politics,Society",PT1M47S,107,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/Vqiymsu-xAI/maxresdefault.jpg,,,,,290,5,,0,0
103,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",d_-_8gVyK5o,2024-07-11T01:15:21Z,"2024-07-11 01:15:21","COLETIVA DE IMPRENSA | FPA GARANTE ISENÇÃO DA CARNE NA REFORMA TRIBUTÁRIA PARA TODOS OS BRASILEIROS",,"fpa,reforma tributária,frente parlamentar da agropecuaria,carne,imposto zero,isenção,camara dos deputados,senado federal",25,"News & Politics","Politics,Society",PT8M37S,517,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/d_-_8gVyK5o/maxresdefault.jpg,,,,,245,7,,0,0
104,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",RqRLbgmx-x0,2024-07-10T18:15:18Z,"2024-07-10 18:15:18","FPA TRABALHA CONTRA A TRIBUTAÇÃO DAS CARNES NA REFORMA TRIBUTÁRIA","🥩🍽️ Carne no prato: FPA reforça necessidade da Reforma Tributária corrigir a cesta básica brasileira. A tributação das proteínas pode aumentar a arrecadação anual da Receita Federal em R$ 17,49 bilhões, excluindo as famílias mais carentes do consumo de carne. Desde o início das discussões, a FPA tem apoiado uma reforma que beneficie toda a sociedade, especialmente as famílias brasileiras que precisam de alimentos baratos e de qualidade. A bancada é contra o aumento da carga tributária e a favor da cesta básica zero, visando combater a inflação dos alimentos. LEIA O LINK DA MATÉRIA COMPLETO: https://agencia.fpagropecuaria.org.br/2024/07/09/carne-no-prato-fpa-reforca-necessidade-da-reforma-tributaria-corrigir-a-cesta-basica-brasileira/","frente parlamentar da agropecuaria,reforma tributaria,fpa,camara dos deputados,imposto,carne,cesta basica",25,"News & Politics",Society,PT1M47S,107,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/RqRLbgmx-x0/maxresdefault.jpg,,,,,108,3,,0,0
105,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",Lrf_l17XMPA,2024-07-08T21:05:04Z,"2024-07-08 21:05:04","ENTENDA O QUE PROPÕE A FPA PARA A REFORMA TRIBUTÁRIA","A FPA defende a inclusão da proteína animal na cesta básica zerada de impostos. 🍽️ Insumos agropecuários e produtos hortícolas devem ter redução das alíquotas, garantidas do campo à mesa! E ainda, revisar o conceito de produto agropecuário in natura e garantir a isenção tributária sobre o ato cooperativo. 🍍👥 🤝 Acreditamos na união de esforços para uma Reforma Tributária que beneficie a sociedade, a produção de alimentos e garanta comida barata na mesa do brasileiro. Precisamos de uma reforma construtiva, que traga desenvolvimento e benefícios para a população. Esse é o motivo dela existir e seguir em frente! 🌱🇧🇷","FPA,FRENTE PARLAMENTAR DA AGROPECUARIA,REFORMA TRIBUTARIA,CAMARA DOS DEPUTADOS,SENADO FEDERAL",25,"News & Politics",Society,PT1M42S,102,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/Lrf_l17XMPA/maxresdefault.jpg,,,,,171,6,,0,0
106,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",pj64EIfx56M,2024-07-04T22:00:34Z,"2024-07-04 22:00:34","SENADO APROVA PROJETO PARA PROTEÇÃO E SUSTENTABILIDADE DO BIOMA PANTANAL","🦩 Proteção e Sustentabilidade para o Pantanal 🌳 📖 Conservação, proteção, recuperação e uso sustentável do bioma Pantanal são algumas das medidas propostas no Estatuto do Pantanal, que estabelece princípios fundamentais e define objetivos da política pública por meio de diretrizes gerais. 🎬 Saiba mais sobre o assunto! Confira o vídeo completo no link:","FPA,FRENTE PARLAMENTAR DA AGROPECUARIA,BIOMAS,MEIO AMBIENTE,PANTANAL,POLITICA,SENADO FEDERAL",25,"News & Politics","Politics,Society",PT2M9S,129,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/pj64EIfx56M/maxresdefault.jpg,,,,,59,0,,0,0
107,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",HMDJHyGnt78,2024-07-04T20:44:41Z,"2024-07-04 20:44:41","MARCO PARA A INCLUSÃO DIGITAL NO CAMPO AVANÇA NO SENADO","Marco para a inclusão digital no campo 🌐👨🏻‍🌾 📋 O projeto que avança no Senado busca instituir a Política Nacional de Conectividade no Campo, um passo significativo para a inclusão digital e o desenvolvimento tecnológico das áreas rurais do Brasil. A nova legislação visa melhorar a infraestrutura e os serviços digitais no meio rural, promovendo a inovação, redução de custos de produção e aumento da produtividade com foco na sustentabilidade. VEJA A MATÉRIA COMPLETA NO LINK: https://agencia.fpagropecuaria.org.br/2024/07/03/marco-para-a-inclusao-digital-no-campo-avanca-no-senado/","FPA,FRENTE PARLAMENTAR DA AGROPECUARIA,SENADO FEDERAL,INCLUSAO DIGITAL",25,"News & Politics","Politics,Society",PT1M41S,101,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/HMDJHyGnt78/maxresdefault.jpg,,,,,116,0,,0,0
108,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",mljnPf0F-JI,2024-07-03T22:00:27Z,"2024-07-03 22:00:27","DÍVIDAS DE PEQUENOS PRODUTORES PODERÃO SER ADIADAS SEM PORTARIA FEDERAL","A proposta adia por até quatro anos o pagamento de parcelas de financiamentos rurais contratados entre 2022 e 2024 em municípios em situação de emergência devido à seca ou inundação, incluindo Rio Grande do Sul, Acre, Roraima e Rondônia. Se não houver recurso para votação no Plenário da Casa, a proposta seguirá para análise na Câmara dos Deputados.","AGRO,AGRICULTURE,ECONOMIA,AGRICULTURA,AGROLOGIA,PRODUTORES,POLITICA,CAMARA DOS DEPUTADOS,SENADO FEDERAL",25,"News & Politics","Politics,Society",PT1M34S,94,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/mljnPf0F-JI/maxresdefault.jpg,,,,,410,4,,0,0
109,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",pd9OT7d-xZ0,2024-07-03T20:08:14Z,"2024-07-03 20:08:14","REVERSÃO NAS DEMARCAÇÕES DAS REGIÕES DE RAPOSA SERRA DO SOL É DISCUTIDA","Antes da demarcação, a área produzia 190 mil toneladas de arroz. O deputado Domingos Sávio (PL-MG) destacou a importância de aprofundar o debate e ""tirar da escravidão"" os povos originários da região.","PL 490,MARCO TEMPORAL,POLITICA,FPA,FRENTE PARLAMENTAR DA AGROPECUARIA,CAMARA DOS DEPUTADOS,AGRO,AGRICULTURA",25,"News & Politics","Politics,Society",PT1M21S,81,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/pd9OT7d-xZ0/maxresdefault.jpg,,,,,876,12,,0,3
110,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",nF3AoU6z6fA,2024-07-02T18:41:03Z,"2024-07-02 18:41:03","EXPECTATIVAS PARA O PLANO SAFRA E REFORMA TRIBUTÁRIA","A Frente Parlamentar da Agropecuária (FPA) recebeu, nesta terça-feira (2), especialistas para debater os pontos prioritários para o setor na Reforma Tributária. Em coletiva de imprensa, o presidente da FPA, deputado Pedro Lupion (PP-PR), falou sobre as expectativas dos parlamentares e do setor em relação à reforma, e afirmou que a bancada aguarda o anúncio oficial do Plano Safra (marcado para esta quarta-feira, 3) para ter um posicionamento.","fpa,frente parlamentar da agropecuaria,reforma tributaria,plano safra,deputados,senadores,camara dos deputados,politica",25,"News & Politics","Politics,Society",PT7M45S,465,2d,hd,false,,en-US,https://i.ytimg.com/vi/nF3AoU6z6fA/maxresdefault.jpg,,,,,58,1,,0,0
111,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",4YEIq7LZ8yc,2024-06-26T22:00:02Z,"2024-06-26 22:00:02","RELATÓRIO APROVADO BUSCA MENOS IMPOSTOS PARA O AGRO",,"agro,camara dos deputados,agricultura,fpa,impostos",25,"News & Politics",Society,PT1M35S,95,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/4YEIq7LZ8yc/maxresdefault.jpg,,,,,138,1,,0,0
